Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Guinea-Bissau,GNB,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.8169843,-1.088014,-1.1082963,-1.13502029999999,-1.1489973,-1.0742275,-1.13439959999999,-1.12268829999999,-1.1227048,-1.12242209999999,-1.1238522,-1.3434781,-1.42845,-1.58751319999999,-1.5509685,-1.57810309999999,-1.664347,-1.59620689999999,-1.52807229999999,-1.2993067,-1.21682239999999,-1.1609749
Liberia,LBR,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.5434764,-1.1101642,-1.11161889999999,-1.246766,-1.3670714,-0.783521799999999,-0.7198737,-0.6268627,-0.438770799999999,-0.412423,-0.5668276,-0.4732171,-0.664203,-0.7936808,-0.734354699999999,-0.8475684,-0.852785,-0.9857106,-0.9910994,-0.9167423,-0.9896145,-1.0479173
Madagascar,MDG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.0745829,-0.0393789,0.0792649,-0.3107225,-0.3115825,-0.1926405,-0.1559895,-0.1853766,-0.211703299999999,-0.3902245,-0.4045495,-0.612370899999999,-0.7119532,-0.783836699999999,-0.784991,-0.794875999999999,-0.922522,-0.9185574,-0.925669499999999,-0.8463989,-0.9473613,-0.9659728
Nigeria,NGA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.42742899999999,-1.6883572,-1.5156767,-1.39574779999999,-1.2796302,-1.18877529999999,-1.1576585,-1.0428079,-1.0705308,-1.1312205,-1.1407268,-1.1466737,-1.1851958,-1.29811949999999,-1.1613946,-1.0910815,-1.14439619999999,-1.1452871,-1.1258494,-1.1178348,-1.1909306,-1.225087
Senegal,SEN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.1512895,0.3635809,-0.164649799999999,-0.153957899999999,-0.184227299999999,-0.2938212,-0.366259699999999,-0.373044899999999,-0.4445787,-0.5598176,-0.3719629,-0.2609003,-0.221789899999999,0.03561,0.0806390999999999,0.0315258,-0.0177432,0.0271111,-0.000328699999999999,-0.0155587,0.0360917,0.0169424
Seychelles,SYC,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.6291815,0.6681958,0.727407,0.2196211,0.1121234,0.1146319,0.112835,0.1133127,0.4120842,0.4410844,0.4403622,0.4106607,0.4170086,0.4713108,0.9238577,0.9114965,0.7220791,0.8163729,1.0734136,1.1448063,1.1441374,1.1495314
"Somalia, Fed. Rep.",SOM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.6143592,-1.39394359999999,-1.6112183,-1.64426269999999,-1.657789,-1.6536954,-1.6552547,-1.6858822,-1.5862218,-1.684578,-1.6615444,-1.649052,-1.64551309999999,-1.73994569999999,-1.7297878,-1.7350014,-1.721871,-1.80642059999999,-1.6343465,-1.5494727,-1.6031075,-1.59878449999999
South Sudan,SSD,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,..,..,..,..,..,..,..,..,..,-0.214174099999999,-1.2275676,-1.34178249999999,-1.4236144,-1.71827969999999,-1.77074769999999,-1.7919554,-1.7562035,-1.8304337,-1.8861426,-1.80683669999999,-1.82343179999999,-1.861122
Sudan,SDN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.1657662,-1.1833566,-1.3168528,-1.30601939999999,-1.41500919999999,-1.2022545,-1.31310249999999,-1.4268295,-1.42912899999999,-1.4777406,-1.46601389999999,-1.57216549999999,-1.5693861,-1.5461064,-1.4808042,-1.4810828,-1.480461,-1.5184609,-1.47108899999999,-1.3828975,-1.292527,-1.4462818
Zambia,ZMB,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.9273562,-0.8018168,-0.809389799999999,-0.6055574,-0.603934499999999,-0.392071,-0.3472209,-0.345906899999999,-0.3090289,-0.369043,-0.273636999999999,-0.269322599999999,-0.305174,-0.390403499999999,-0.395175899999999,-0.423830999999999,-0.464061199999999,-0.6165275,-0.6455711,-0.6050749,-0.6928953,-0.4180775
Zimbabwe,ZWE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.27712429999999,-1.36732069999999,-1.41782839999999,-1.40678899999999,-1.498948,-1.3723553,-1.402998,-1.5353415,-1.5461452,-1.4687145,-1.4551794,-1.3288997,-1.3977252,-1.4973623,-1.3029239,-1.3004061,-1.2922875,-1.3111277,-1.28338019999999,-1.1729479,-1.1867823,-1.1984753
Rwanda,RWA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.7486237,-0.7155773,-0.717537,-0.3583417,-0.3597549,-0.224057199999999,-0.1290585,0.0459088,0.0325468,0.2778291,0.2939461,0.4271324,0.4277974,0.4896227,0.5000821,0.5807531,0.5061897,0.4362084,0.4520132,0.5134655,0.4694992,0.5279544
Niger,NER,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.9976217,-1.0018861,-1.0033408,-0.8820479,-0.7805882,-0.772062999999999,-0.6805262,-0.5497619,-0.632288699999999,-0.6019841,-0.511074399999999,-0.435072099999999,-0.374697,-0.4434815,-0.4307116,-0.4203841,-0.4352048,-0.4471908,-0.438836799999999,-0.529990899999999,-0.5632509,-0.5631731
Namibia,NAM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.55599,0.1007833,0.0648883,-0.0108496,-0.0218681999999999,0.3198085,0.2818941,0.5812992,0.4769442,0.3382449,0.3080152,0.4912085,0.4707981,0.4361437,0.4537303,0.4077914,0.3675534,0.4425861,0.4318792,0.3917523,0.3260821,0.3167748
